Date_time,VIX,SP500,US Treasury securities
2020-12-23,19.91,3693.42,0.07
2020-12-24,19.18,3694.03,0.09
2020-12-28,17.16,3723.03,0.09
2020-12-29,20.04,3750.01,0.08
2020-12-30,21.5,3736.19,0.06
2020-12-31,21.29,3733.27,0.08
2021-01-04,22.75,3764.61,0.09
2021-01-05,27.26,3698.02,0.08
2021-01-06,24.26,3712.2,0.09
2021-01-07,23.73,3764.71,0.09
2021-01-08,19.21,3815.05,0.08
2021-01-11,18.37,3803.14,0.09
2021-01-12,21.7,3801.62,0.09
2021-01-13,20.63,3802.23,0.09
2021-01-14,18.78,3814.98,0.09
2021-01-15,21.04,3788.73,0.08
2021-01-19,21.84,3781.88,0.07
2021-01-20,20.44,3816.22,0.08
2021-01-21,18.84,3857.46,0.07
2021-01-22,18.23,3844.24,0.07
2021-01-25,20.69,3851.68,0.07
2021-01-26,20.68,3862.96,0.05
2021-01-27,20.46,3836.83,0.05
2021-01-28,42.05,3755.75,0.05
2021-01-29,29.93,3778.05,0.07
2021-02-01,30.38,3731.17,0.06
2021-02-02,28.94,3791.84,0.04
2021-02-03,22.31,3840.27,0.03
2021-02-04,19.03,3836.66,0.03
2021-02-05,17.46,3878.3,0.02
2021-02-08,15.48,3892.59,0.04
2021-02-09,16.57,3910.49,0.04
2021-02-10,17.09,3920.78,0.05
2021-02-11,17.68,3916.4,0.05
2021-02-12,17.18,3911.65,0.03
2021-02-16,15.03,3939.61,0.03
2021-02-17,19.33,3918.5,0.03
2021-02-18,18.42,3915.86,0.03
2021-02-19,19.41,3921.16,0.03
2021-02-22,18.3,3885.55,0.03
2021-02-23,21.21,3857.07,0.03
2021-02-24,23.23,3873.71,0.03
2021-02-25,18.35,3915.8,0.04
2021-02-26,31.6,3839.66,0.04
2021-03-01,29.36,3842.51,0.03
2021-03-02,22.63,3903.64,0.04
2021-03-03,23.17,3863.99,0.04
2021-03-04,26.88,3818.53,0.03
2021-03-05,29.3,3793.58,0.04
2021-03-08,23.76,3844.39,0.04
2021-03-09,25.7,3851.93,0.04
2021-03-10,24.12,3891.99,0.03
2021-03-11,20.98,3915.54,0.04
2021-03-12,20.93,3924.52,0.03
2021-03-15,17.41,3942.96,0.02
2021-03-16,17.7,3973.59,0.01
2021-03-17,17.93,3949.57,0.01
2021-03-18,16.69,3953.5,0.01
2021-03-19,20.31,3913.14,0.01
2021-03-22,18.97,3916.48,0.02
2021-03-23,16.4,3937.6,0.02
2021-03-24,18.41,3919.93,0.02
2021-03-25,20.64,3879.34,0.02
2021-03-26,17.19,3917.12,0.02
2021-03-29,16.26,3969.31,0.02
2021-03-30,18.85,3963.34,0.01
2021-03-31,17.27,3967.25,0.01
2021-04-01,15.57,3992.78,0.02
2021-04-05,12.95,4034.44,0.03
2021-04-06,15.69,4075.57,0.02
2021-04-07,15.71,4074.29,0.01
2021-04-08,14.13,4089.95,0.02
2021-04-09,13.96,4096.11,0.02
2021-04-12,13.19,4124.71,0.02
2021-04-13,14.24,4130.1,0.03
2021-04-14,13.78,4141.58,0.02
2021-04-15,14.11,4139.76,0.02
2021-04-16,14.2,4174.14,0.02
2021-04-19,12.94,4179.8,0.01
2021-04-20,15.42,4159.18,0.01
2021-04-21,17.32,4128.42,0.0
2021-04-22,14.79,4170.46,0.02
2021-04-23,16.78,4138.78,0.01
2021-04-26,14.09,4185.03,0.02
2021-04-27,14.81,4188.25,0.01
2021-04-28,14.56,4185.14,0.01
2021-04-29,13.59,4206.14,0.01
2021-04-30,13.95,4198.1,0.01
2021-05-03,15.53,4191.98,0.02
